small1	2	3	1.0
small1	1	12	1.0
small1	6	8	0.6666666666666666
small1	7	8	0.5
small1	2	4	0.5
small1	4	3	0.5
small1	8	9	0.5
small1	13	12	0.3333333333333333
small1	13	1	0.3333333333333333
small1	9	6	0.3333333333333333
small2	9	8	0.3333333333333333
small2	5	4	0.3333333333333333
small2	2	1	0.3333333333333333
small2	4	2	0.3333333333333333
small2	1	9	0.3333333333333333
small2	7	6	0.3333333333333333
small2	5	6	0.3333333333333333
small2	8	7	0.3333333333333333
small2	3	9	0.2857142857142857
small2	3	7	0.2857142857142857
twitter	neilepstein	neilepstein	1.2
twitter	beaulebens	beaulebens	1.0363636363636364
twitter	bandagranpoder	GjConcepcion	0.8666666666666667
twitter	silly_dwilli	peytonstevens	0.8461538461538461
twitter	masonshreds	cristiaaandiaz	0.7647058823529411
twitter	llamadorgranada	bandagranpoder	0.75
twitter	_NFC_	BUYNFCTAGS	0.75
twitter	bandagranpoder	BandasDeGranada	0.75
twitter	swarthmore	SwatAlum	0.7297297297297297
twitter	bandagranpoder	TresCaidasGr	0.7058823529411765
fb	4007	3990	1.0
fb	2792	3037	1.0
fb	2691	3037	1.0
fb	2483	2595	1.0
fb	4016	4025	1.0
fb	3990	4025	1.0
fb	2792	2691	1.0
fb	3990	4016	1.0
fb	4007	4016	1.0
fb	4007	4025	1.0
barabasi	146	119	0.2857142857142857
barabasi	143	136	0.25
barabasi	112	113	0.25
barabasi	29	147	0.25
barabasi	112	143	0.2222222222222222
barabasi	130	80	0.2
barabasi	143	113	0.2
barabasi	66	129	0.18181818181818182
barabasi	112	136	0.18181818181818182
barabasi	110	42	0.16666666666666666
erdos	41	4	0.3103448275862069
erdos	72	44	0.27586206896551724
erdos	26	15	0.27586206896551724
erdos	97	47	0.2727272727272727
erdos	16	77	0.2727272727272727
erdos	17	10	0.2647058823529412
erdos	10	70	0.25
erdos	39	81	0.25
erdos	89	76	0.24242424242424243
erdos	94	74	0.23809523809523808
